title,current_price,discount_percentage,main_url,image,product_code,global_product_id,group_key,color_description,simple_color,sub_title,merch_product_id,internal_pid,consumer_channel_id
Jordan Spizike Low,160.0$,0%,https://www.nike.com/t/jordan-spizike-low-mens-shoes-thc5vc/FQ1759-101,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d99a1c5d-3b21-4e45-97c4-7aa85562b158/JORDAN+SPIZIKE+LOW.png",FQ1759-101,eafaabf3-c2c1-4ce0-9bf4-7c7d1e1373ea,thc5vc,White/Archaeo Brown/Light Bone/Pink Oxford,White,Men's Shoes,1d2aa796-71f3-5e01-9f9b-81a8d7bec8f2,1015582278,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Tiempo Legend 10 Academy,85.0$,0%,https://www.nike.com/t/tiempo-legend-10-academylow-top-soccer-cleats-P6NXdH/DV4340-400,https://static.nike.com/a/images/t_default/52d623bd-f4fb-4e5a-ac05-c9e8734f2b18/LEGEND+10+ACADEMY+AG.png,DV4340-400,49c9f026-4060-4795-afef-8e94a7675221,P6NXdH,Soar/White,Blue,Artificial-Grass Low-Top Soccer Cleats,a695d7fc-06db-5814-90c8-50112642d69e,1015585061,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Air Jordan XXXIX ""Lumière""",200.0$,0%,https://www.nike.com/t/air-jordan-xxxix-lumière-basketball-shoes-lCjzsl/FQ0213-001,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/31d7d46e-5a5b-4f9d-9172-ed4d3fe67352/AIR+JORDAN+XXXIX.png",FQ0213-001,7e40acd7-bff1-40cf-a818-1f3a302e42bd,lCjzsl,Black/Sail,Black,Basketball Shoes,c73f1ebb-1418-508e-8880-13e66aea0c82,1015603626,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air Max Plus Premium,190.0$,0%,https://www.nike.com/t/air-max-plus-premium-mens-shoes-qFMQdv/HJ4519-200,https://static.nike.com/a/images/t_default/57d06de0-37fb-4156-918a-649e4b7c1cf9/NIKE+AIR+MAX+PLUS+PRM+QS+OLY.png,HJ4519-200,127044cf-c2e2-406c-a067-f95f4b55310a,qFMQdv,Black Tea/Petra Brown/Olive Grey/Black,Brown,Men's Shoes,b378ff8c-2e1d-5442-8c2d-d1e8fa10c01f,1015574928,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Dunk Low Premium,125.0$,0%,https://www.nike.com/t/dunk-low-premium-shoes-lbcLKZ/HJ9112-110,https://static.nike.com/a/images/t_default/0d053e52-a037-456a-b6db-2938b5cc621a/NIKE+DUNK+LOW+PRM.png,HJ9112-110,6fd30bb5-ff21-40d3-8b9c-8960e7c63ca5,lbcLKZ,Pale Ivory/Denim Turquoise/Light Crimson/Royal Pulse,Brown,Shoes,32067448-4041-5cd3-bafc-1cbe34bf9b52,1015604877,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air Force 1 '07 EasyOn,115.0$,0%,https://www.nike.com/t/air-force-1-07-easyon-shoes-vpmlK3/FD1146-100,https://static.nike.com/a/images/t_default/13721f24-2774-443e-a27d-998d2c6be068/AIR+FORCE+1+%2707+FLYEASE.png,FD1146-100,d3cd7728-81f3-4591-9318-442b8e371477,vpmlK3,White/White/White,White,Shoes,caaae84f-ea5d-546f-8e2a-9f9061506461,1007841168,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Alphafly 3,285.0$,0%,https://www.nike.com/t/alphafly-3-mens-road-racing-shoes-5gZBgL/FD8311-100,https://static.nike.com/a/images/t_default/626e3be8-7998-4f72-a7e1-cdf4ac5f713f/AIR+ZOOM+ALPHAFLY+NEXT%25+3.png,FD8311-100,a7196cc0-c6b4-4aeb-8996-caf5e0d43bd4,5gZBgL,White/Purple Agate/Vivid Grape/Black,White,Men's Road Racing Shoes,8fa40549-ce45-5495-90bc-fffeb3e95c61,1015582625,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Tawa SE,155.0$,0%,https://www.nike.com/t/tawa-se-mens-wrestling-shoes-VVM1GQ/DJ4474-121,https://static.nike.com/a/images/t_default/1b3e1221-0d5e-46a1-a8cc-dafbd3ba2a6c/NIKE+TAWA+SE.png,DJ4474-121,858e30eb-e8ba-344e-bb9d-53f1830cf59f,VVM1GQ,White/Bright Crimson/Total Orange/Black,White,Men's Wrestling Shoes,1bf2fc58-571c-51f5-a702-489f99fd8958,13431973,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air VaporMax Moc Roam Electric,230.0$,0%,https://www.nike.com/t/air-vapormax-moc-roam-electric-mens-shoes-0djDxd/FV5532-100,https://static.nike.com/a/images/t_default/e6157221-051c-4b58-b997-eafbd14b0410/AIR+VAPORMAX+MOC+ROAM+OLY.png,FV5532-100,4176491f-32c6-459e-a45d-b561d7ef7775,0djDxd,Sail/Light Bone/Black/Total Orange,White,Men's Shoes,7b80421c-4aba-523d-b9fe-509719168a8f,1015572566,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Nike Vapor Edge 360 ""Untouchable""",180.0$,0%,https://www.nike.com/t/vapor-edge-360-untouchable-mens-football-cleats-GQMNWf/FQ0235-100,https://static.nike.com/a/images/t_default/f204e48d-265c-41d9-90cf-8dfa21efa1b3/NIKE+VAPOR+EDGE+360+UT.png,FQ0235-100,199eec2f-85ba-4b42-86b6-ba3f3ac3f6ca,GQMNWf,White/Volt/Black,White,Men's Football Cleats,2090adef-5bd4-55d7-8316-a81c7256eb90,1015585926,d9a5bc42-4b9c-4976-858a-f159cf99c647
